Title,Link,Location,Career,Education,Worktime,Deadline,Company_link,Company_name
[롯데계열社] 데이터사이언스(SQL/Python/R/Tableau),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45375175&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,서울 송파구,경력 3~12년,대졸↑,정규직,내일마감,https://www.saramin.co.kr/zf_user/company-info/view?csn=Wm5sVDd5dlZoQktsUHd1Y0IxYk85UT09,주)키스템프그룹
[채용] C# S/W 개발자 or Python 응용 S/W 개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45405001&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,서울 금천구,경력무관,초대졸↑,정규직,~ 05/10(수),https://www.saramin.co.kr/zf_user/company-info/view?csn=ZE1ZWnNxOUx5YVRYMjhYKy9UeEQ1dz09,스엔지니어링
이커머스 솔루션 Python Backend 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45314097&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,서울전체,신입·경력,학력무관,정규직,~ 04/28(금),https://www.saramin.co.kr/zf_user/company-info/view?csn=d2ZIZTR1b3dqaEtkeWdQNFJPUk43Zz09,주)샐러드랩
머신러닝&인공지능(AI)&Python 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45152657&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,서울 금천구,경력무관,대졸↑,정규직,~ 04/28(금),https://www.saramin.co.kr/zf_user/company-info/view?csn=Mk9kdzVUcjR6bFROS2lSYlBwV1B4QT09,주)에스엠티비전
빅데이터분석-Python (신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45026212&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,서울 관악구,경력무관,고졸↑,정규직·인턴직,채용시,https://www.saramin.co.kr/zf_user/company-info/view?csn=d1hOaGFIc2x1MmpJWFFOVkZKTmRldz09,주)스마트인사이츠
[신입] 서버 엔지니어 (Python),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45360256&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,서울전체,신입·경력,학력무관,정규직,상시채용,https://www.saramin.co.kr/zf_user/company-info/view?csn=cUxkWEJNNk5zdmNIYm5sYWNCbjlLQT09,주)페이히어
금융IT 은행IT 증권IT 백엔드 Spring Java Django Python 개발자 신입 경력,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45412222&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,서울 강서구,신입·경력,대졸↑,정규직,~ 04/16(일),https://www.saramin.co.kr/zf_user/company-info/view?csn=TWgzU0kvOGtBZEFQTUhPUHJwZFJWUT09,주)이프정보시스템
[아프리카TV] 플랫폼베이스 백엔드 개발 (Java  Python),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45403514&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,경기 성남시 분당구,경력4년↑,학력무관,정규직,~ 04/16(일),https://www.saramin.co.kr/zf_user/company-info/view?csn=K0dnMDhQZnQ4b052bFZQUyt1L3AyZz09,주)아프리카티비
[경력무관] C언어  Python  Linux  딥러닝 외 정규직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45366271&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,서울 강남구,경력무관,학력무관,정규직,~ 04/27(목),https://www.saramin.co.kr/zf_user/company-info/view?csn=NHdzWkw1a2IzTml1aWQ0SE0wQURodz09,주)에즈웰플러스
[신입/경력] 온라인 광고 플랫폼 개발 (Python  PHP),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45297582&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=aa37d178-06a9-47a1-a89b-71ea9a94cb0a,서울 중구,신입·경력,초대졸↑,정규직,상시채용,https://www.saramin.co.kr/zf_user/company-info/view?csn=dkIrL2dhU3hBQmFEOWhvdWh5NFQyQT09,주)니트머스
